Server_Workload,Inlet_Temperature,Outlet_Temperature,Ambient_Temperature,Cooling_Unit_Power_Consumption,Chiller_Usage,AHU_Usage,Total_Energy_Cost,Temperature_Deviation,Cooling_Strategy_Action,Output,Energy_Efficiency
100,24.726323,28.469324,21.424454,0.98,94.205859,45.462911,0.09,2.58,'Reduce AHU',1,'\'(90.144635-inf)\''
87.358993,23.085262,29.854364,26.420271,0.95,85.776996,53.185858,0.1,2.42,'Eco Mode',4,'\'(90.144635-inf)\''
19.3138,16.288791,23.381846,21.452172,0.43,28.148672,40.833469,0.06,2.55,'Eco Mode',4,'\'(-inf-80.703871]\''
41.40668,19.21728,24.323699,19.200412,0.61,49.300227,42.490922,0.08,4.8,'Boost All',3,'\'(-inf-80.703871]\''
49.514889,19.99174,23.205543,26.768503,0.69,49.656127,58.10089,0.1,2.77,'Eco Mode',4,'\'(-inf-80.703871]\''
50.221896,19.073444,22.237347,27.583655,0.69,49.052331,58.551611,0.07,3.58,'Boost All',3,'\'(-inf-80.703871]\''
36.096725,18.655844,23.007473,18,0.5,40.129626,35.562764,0.06,6,Maintain,2,'\'(-inf-80.703871]\''
53.263935,19.478006,22.656099,23.431237,0.7,59.689791,45.399355,0.09,0.57,'Boost All',3,'\'(-inf-80.703871]\''
95.953804,24.535218,33.834061,23.863867,0.96,93.722934,42.841288,0.13,0.14,'Reduce AHU',1,'\'(90.144635-inf)\''
57.358607,22.015763,23.508595,19.101938,0.74,66.736332,42.0249,0.08,4.9,'Increase Chiller',0,'\'(-inf-80.703871]\''
74.417438,23.013193,28.139664,20.722874,0.83,75.746847,45.476843,0.08,3.28,Maintain,2,'\'(80.703871-90.144635]\''
79.66194,21.584752,26.48849,22.553046,0.81,73.864687,43.044532,0.11,1.45,'Reduce AHU',1,'\'(90.144635-inf)\''
71.498065,20.857688,24.992444,23.322058,0.76,66.126651,46.462303,0.09,0.68,'Boost All',3,'\'(90.144635-inf)\''
58.50919,19.693436,20.740862,23.159081,0.63,53.093163,41.491607,0.09,0.84,'Eco Mode',4,'\'(90.144635-inf)\''
